,grid_id,geometry
0,0,"POLYGON ((29.264802112196996 59.544336394110275, 29.265390871829524 59.553102406630636, 29.282659642170533 59.55280231300697, 29.282066403964684 59.54403640501665, 29.264802112196996 59.544336394110275))"
1,1,"POLYGON ((29.265390871829524 59.553102406630636, 29.26597999048163 59.56186840376255, 29.28325324211957 59.56156820555464, 29.282659642170533 59.55280231300697, 29.265390871829524 59.553102406630636))"
2,2,"POLYGON ((29.26597999048163 59.56186840376255, 29.26656946846065 59.570634385504995, 29.28384720412144 59.57033408265854, 29.28325324211957 59.56156820555464, 29.26597999048163 59.56186840376255))"
3,3,"POLYGON ((29.26656946846065 59.570634385504995, 29.267159306074248 59.579400351856904, 29.284441528486145 59.5790999443176, 29.28384720412144 59.57033408265854, 29.26656946846065 59.570634385504995))"
4,4,"POLYGON ((29.267159306074248 59.579400351856904, 29.26774950363045 59.588166302817235, 29.285036215524034 59.58786579053066, 29.284441528486145 59.5790999443176, 29.267159306074248 59.579400351856904))"
5,5,"POLYGON ((29.26774950363045 59.588166302817235, 29.268340061437648 59.59693223838495, 29.285631265545828 59.59663162129667, 29.285036215524034 59.58786579053066, 29.26774950363045 59.588166302817235))"
6,6,"POLYGON ((29.268340061437648 59.59693223838495, 29.268930979804573 59.60569815855895, 29.286226678862583 59.60539743661449, 29.285631265545828 59.59663162129667, 29.268340061437648 59.59693223838495))"
7,7,"POLYGON ((29.268930979804573 59.60569815855895, 29.269522259040325 59.614464063338175, 29.286822455785746 59.61416323648302, 29.286226678862583 59.60539743661449, 29.268930979804573 59.60569815855895))"
8,8,"POLYGON ((29.269522259040325 59.614464063338175, 29.27011389945435 59.623229952721594, 29.287418596627102 59.62292902090119, 29.286822455785746 59.61416323648302, 29.269522259040325 59.614464063338175))"
9,9,"POLYGON ((29.27011389945435 59.623229952721594, 29.270705901356454 59.631995826708085, 29.288015101698793 59.6316947898678, 29.287418596627102 59.62292902090119, 29.27011389945435 59.623229952721594))"
10,10,"POLYGON ((29.270705901356454 59.631995826708085, 29.271298265056814 59.64076168529664, 29.28861197131334 59.64046054338179, 29.288015101698793 59.6316947898678, 29.270705901356454 59.631995826708085))"
11,11,"POLYGON ((29.271298265056814 59.64076168529664, 29.271890990865952 59.649527528486146, 29.289209205783603 59.64922628144201, 29.28861197131334 59.64046054338179, 29.271298265056814 59.64076168529664))"
12,12,"POLYGON ((29.271890990865952 59.649527528486146, 29.27248407909474 59.65829335627553, 29.289806805422828 59.65799200404739, 29.289209205783603 59.64922628144201, 29.271890990865952 59.649527528486146))"
13,13,"POLYGON ((29.27248407909474 59.65829335627553, 29.273077530054433 59.66705916866373, 29.290404770544605 59.66675771119674, 29.289806805422828 59.65799200404739, 29.27248407909474 59.65829335627553))"
14,14,"POLYGON ((29.273077530054433 59.66705916866373, 29.273671344056634 59.67582496564966, 29.29100310146288 59.67552340288898, 29.290404770544605 59.66675771119674, 29.273077530054433 59.66705916866373))"
15,15,"POLYGON ((29.273671344056634 59.67582496564966, 29.274265521413295 59.68459074723222, 29.291601798491985 59.68428907912294, 29.29100310146288 59.67552340288898, 29.273671344056634 59.67582496564966))"
16,16,"POLYGON ((29.274265521413295 59.68459074723222, 29.274860062436748 59.69335651341036, 29.292200861946597 59.69305473989749, 29.291601798491985 59.68428907912294, 29.274265521413295 59.68459074723222))"
17,17,"POLYGON ((29.274860062436748 59.69335651341036, 29.27545496743967 59.70212226418296, 29.292800292141767 59.701820385211555, 29.292200861946597 59.69305473989749, 29.274860062436748 59.69335651341036))"
18,18,"POLYGON ((29.27545496743967 59.70212226418296, 29.276050236735124 59.71088799954896, 29.293400089392904 59.71058601506394, 29.292800292141767 59.701820385211555, 29.27545496743967 59.70212226418296))"
19,19,"POLYGON ((29.276050236735124 59.71088799954896, 29.276645870636504 59.71965371950726, 29.294000254015796 59.719351629453506, 29.293400089392904 59.71058601506394, 29.276050236735124 59.71088799954896))"
20,20,"POLYGON ((29.276645870636504 59.71965371950726, 29.277241869457583 59.728419424056725, 29.29460078632657 59.72811722837911, 29.294000254015796 59.719351629453506, 29.276645870636504 59.71965371950726))"
21,21,"POLYGON ((29.277241869457583 59.728419424056725, 29.277838233512508 59.737185113196276, 29.29520168664174 59.73688281183962, 29.29460078632657 59.72811722837911, 29.277241869457583 59.728419424056725))"
22,22,"POLYGON ((29.277838233512508 59.737185113196276, 29.27843496311576 59.74595078692484, 29.295802955278187 59.745648379833895, 29.29520168664174 59.73688281183962, 29.277838233512508 59.737185113196276))"
