,grid_id_origin,time_origin,grid_id_dest,time_dest,trips_cnt
0,0,00:00:00,8094,00:00:00,1
1,0,03:00:00,4558,04:00:00,1
2,0,23:00:00,5266,00:00:00,1
3,158,02:00:00,4922,03:00:00,1
4,158,22:00:00,5429,00:00:00,1
5,158,23:00:00,4417,00:00:00,1
6,221,00:00:00,5185,01:00:00,1
7,221,01:00:00,4125,01:00:00,1
8,221,02:00:00,3517,03:00:00,1
9,221,04:00:00,3691,05:00:00,1
10,256,23:00:00,3281,00:00:00,1
11,265,00:00:00,5179,01:00:00,1
12,265,01:00:00,4382,02:00:00,1
13,266,00:00:00,715,00:00:00,1
14,266,02:00:00,5344,03:00:00,1
15,266,23:00:00,5519,00:00:00,1
16,353,23:00:00,4821,00:00:00,1
17,507,22:00:00,4156,23:00:00,1
18,593,01:00:00,1990,02:00:00,1
19,593,01:00:00,4243,02:00:00,1
20,593,22:00:00,1643,23:00:00,1
21,593,22:00:00,1989,23:00:00,1
22,622,23:00:00,4123,00:00:00,1
23,656,04:00:00,4929,05:00:00,1
24,656,23:00:00,5099,00:00:00,1
25,680,23:00:00,1118,23:00:00,1
26,701,02:00:00,1256,02:00:00,1
27,715,00:00:00,4658,02:00:00,1
28,715,00:00:00,5787,02:00:00,1
29,799,01:00:00,2908,02:00:00,1
30,855,04:00:00,1901,05:00:00,1
31,1030,22:00:00,5724,23:00:00,1
32,1031,00:00:00,1988,00:00:00,1
33,1031,00:00:00,3281,01:00:00,1
34,1031,22:00:00,6134,00:00:00,1
35,1031,23:00:00,1819,00:00:00,1
36,1118,02:00:00,593,02:00:00,1
37,1118,03:00:00,1989,03:00:00,1
38,1149,23:00:00,5168,00:00:00,1
39,1150,22:00:00,3084,23:00:00,1
40,1151,02:00:00,4922,03:00:00,1
41,1206,00:00:00,2343,00:00:00,1
42,1224,05:00:00,1490,05:00:00,1
43,1224,05:00:00,2798,06:00:00,1
44,1224,05:00:00,2801,06:00:00,1
45,1228,23:00:00,2716,00:00:00,1
46,1256,22:00:00,5629,23:00:00,1
47,1257,22:00:00,4124,23:00:00,1
48,1257,22:00:00,6072,00:00:00,1
49,1293,23:00:00,1988,23:00:00,1
50,1293,23:00:00,2249,23:00:00,1
51,1293,23:00:00,5266,00:00:00,1
52,1314,23:00:00,2889,00:00:00,1
53,1350,03:00:00,5179,04:00:00,1
54,1350,23:00:00,1954,23:00:00,1
55,1351,01:00:00,2142,02:00:00,1
56,1351,02:00:00,2487,02:00:00,1
57,1351,04:00:00,2392,04:00:00,1
58,1351,22:00:00,2044,22:00:00,1
59,1351,22:00:00,2054,22:00:00,1
60,1385,22:00:00,5267,23:00:00,1
61,1385,23:00:00,1906,00:00:00,1
