ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-243.1376832938402	-243.1376832938402	-243.1376832938402	-243.1376832938402
1	-243.1376832938402	-243.1376832938402	-243.1376832938402	-243.1376832938402
2	-243.1376832938402	-243.1376832938402	-243.1376832938402	-243.1376832938402
3	-243.1376832938402	-243.1376832938402	-243.1376832938402	-243.1376832938402
4	-243.1376832938402	-243.1376832938402	-243.1376832938402	-243.1376832938402
5	-243.1376832938402	-243.1376832938402	-243.1376832938402	-243.1376832938402
6	-243.1376832938402	-243.1376832938402	-243.1376832938402	-243.1376832938402
7	-243.1376832938402	-243.1376832938402	-243.1376832938402	-243.1376832938402
8	-243.1376832938402	-243.1376832938402	-243.1376832938402	-243.1376832938402
9	-243.1376832938402	-243.1376832938402	-243.1376832938402	-243.1376832938402
10	-243.1376832938402	-243.1376832938402	-243.1376832938402	-243.1376832938402
