TransitRouteId;Departure/vehicleRefId;StopDeparture;StopArrival;Passengers
23219354;veh_63_bus;4302.link:321360963_0;2916.link:572418415_0_r;4
23219354;veh_63_bus;4302.link:321360963_0;2562.link:218475447_0_r;2
23219354;veh_63_bus;4302.link:321360963_0;23958.link:190505820_6;1
23219354;veh_63_bus;4302.link:321360963_0;23968.link:528480961_0;3
23219354;veh_63_bus;4302.link:321360963_0;1925.link:143881926_0;1
23219354;veh_63_bus;4302.link:321360963_0;4195.link:365249853_0;3
23219354;veh_63_bus;4302.link:321360963_0;1901.link:144655541_0;2
23219354;veh_63_bus;4302.link:321360963_0;1846.link:31371305_0;11
23219354;veh_63_bus;4302.link:321360963_0;1648.link:31371305_1;5
23219354;veh_63_bus;4302.link:321360963_0;22799.link:31381007_1;1
23219354;veh_63_bus;4302.link:321360963_0;18098.link:370619129_0;2
23219354;veh_63_bus;4302.link:321360963_0;2092.link:31396539_0;3
23219354;veh_63_bus;4302.link:321360963_0;3606.link:31396539_1;3
23219354;veh_63_bus;4302.link:321360963_0;4796.link:183816752_2;3
23219354;veh_63_bus;4302.link:321360963_0;4403.link:78633091_0;1
23219354;veh_63_bus;4302.link:321360963_0;21079.link:265195030_0;1
23219354;veh_63_bus;4302.link:321360963_0;18506.link:144880915_3;31
23219354;veh_63_bus;2916.link:572418415_0_r;2100.link:245456247_0_r;2
23219354;veh_63_bus;2916.link:572418415_0_r;1846.link:31371305_0;1
23219354;veh_63_bus;2916.link:572418415_0_r;18506.link:144880915_3;1
23219354;veh_63_bus;2100.link:245456247_0_r;3287.link:308301794_1;1
23219354;veh_63_bus;2100.link:245456247_0_r;1648.link:31371305_1;1
23219354;veh_63_bus;3271.link:143525636_0;23991.link:178568772_0;1
23219354;veh_63_bus;3271.link:143525636_0;1901.link:144655541_0;1
23219354;veh_63_bus;3271.link:143525636_0;1846.link:31371305_0;4
23219354;veh_63_bus;3271.link:143525636_0;4403.link:78633091_0;1
23219354;veh_63_bus;3271.link:143525636_0;18506.link:144880915_3;6
23219354;veh_63_bus;23958.link:190505820_6;1925.link:143881926_0;1
23219354;veh_63_bus;23968.link:528480961_0;4195.link:365249853_0;1
23219354;veh_63_bus;23968.link:528480961_0;1846.link:31371305_0;2
23219354;veh_63_bus;23991.link:178568772_0;1846.link:31371305_0;1
23219354;veh_63_bus;4195.link:365249853_0;1846.link:31371305_0;2
23219354;veh_63_bus;4195.link:365249853_0;3606.link:31396539_1;1
23219354;veh_63_bus;4195.link:365249853_0;4403.link:78633091_0;1
23219354;veh_63_bus;1901.link:144655541_0;18098.link:370619129_0;1
23219354;veh_63_bus;1901.link:144655541_0;18506.link:144880915_3;2
23219354;veh_63_bus;1925.link:143881926_0;2092.link:31396539_0;1
23219354;veh_63_bus;1925.link:143881926_0;18506.link:144880915_3;1
23219354;veh_63_bus;1846.link:31371305_0;2092.link:31396539_0;2
23219354;veh_63_bus;1846.link:31371305_0;3606.link:31396539_1;3
23219354;veh_63_bus;1846.link:31371305_0;4796.link:183816752_2;2
23219354;veh_63_bus;1846.link:31371305_0;4403.link:78633091_0;4
