Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	00:07:37	00:07:37	00:07:37			00:07:37	00:07:37	00:07:40	00:07:40	00:07:40	00:07:41	00:07:41	00:07:46	00:07:46	00:07:46	00:07:46	00:07:46	00:07:46			00:07:49	00:07:49		00:00:00		00:00:03	00:00:03	00:00:00	00:00:05	00:00:00	00:00:00		00:00:02	00:00:11
1	00:07:49	00:07:49	00:07:49	00:07:49	00:07:49	00:07:49	00:07:49	00:07:53	00:07:53	00:07:53	00:07:53	00:07:53	00:07:55	00:07:55	00:07:56	00:07:56	00:07:56	00:07:56			00:07:56	00:07:56		00:00:00	00:00:00	00:00:03	00:00:03	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:07
2	00:07:56	00:07:56	00:07:56	00:07:56	00:07:57	00:07:57			00:07:57	00:07:57	00:07:57	00:07:57	00:07:59	00:07:59	00:08:00	00:08:00	00:08:00	00:08:00			00:08:00	00:08:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
3	00:08:00	00:08:00	00:08:00	00:08:00	00:08:01	00:08:01			00:08:01	00:08:01	00:08:01	00:08:01	00:08:04	00:08:04	00:08:04	00:08:04	00:08:04	00:08:04			00:08:04	00:08:04		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
4	00:08:04	00:08:04	00:08:04	00:08:04	00:08:05	00:08:05			00:08:05	00:08:05	00:08:05	00:08:05	00:08:07	00:08:07	00:08:08	00:08:08	00:08:08	00:08:08			00:08:08	00:08:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
5	00:08:08	00:08:08	00:08:08	00:08:08	00:08:09	00:08:09			00:08:09	00:08:09	00:08:09	00:08:09	00:08:11	00:08:11	00:08:11	00:08:11	00:08:11	00:08:11			00:08:12	00:08:12		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
6	00:08:12	00:08:12	00:08:12	00:08:12	00:08:12	00:08:12			00:08:12	00:08:12	00:08:13	00:08:13	00:08:15	00:08:15	00:08:15	00:08:15	00:08:15	00:08:15			00:08:16	00:08:16		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
7	00:08:16	00:08:16	00:08:16	00:08:16	00:08:16	00:08:16			00:08:16	00:08:16	00:08:16	00:08:16	00:08:19	00:08:19	00:08:19	00:08:19	00:08:19	00:08:19			00:08:20	00:08:20		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
8	00:08:20	00:08:20	00:08:20	00:08:20	00:08:20	00:08:20			00:08:20	00:08:20	00:08:21	00:08:21	00:08:23	00:08:23	00:08:23	00:08:23	00:08:23	00:08:23			00:08:24	00:08:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
9	00:08:24	00:08:24	00:08:24	00:08:24	00:08:24	00:08:24			00:08:24	00:08:24	00:08:25	00:08:25	00:08:27	00:08:27	00:08:27	00:08:27	00:08:28	00:08:28			00:08:28	00:08:28		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:04
10	00:08:28	00:08:28	00:08:28	00:08:28	00:08:28	00:08:28			00:08:28	00:08:28	00:08:29	00:08:29	00:08:33	00:08:33	00:08:33	00:08:33	00:08:33	00:08:33	00:08:34	00:08:34	00:08:35	00:08:35		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00	00:00:00	00:00:01	00:00:07
