TransitLine;h0;h1;h2;h3;h4;h5;h6;h7;h8;h9;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;Day
bus_all_9dddbd08-6400-4968-a696-cd211cf69382;255;447;419;404;416;346;103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2390
bus_all_cf1bf4a6-026d-4560-9a55-51bd194b72b8;314;665;572;458;449;397;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2870
bus_all_d09bb920-fef4-4fa8-b9f4-6a8e5058ffb6;599;869;831;793;772;787;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4651
bus_all_40e1184b-5eda-407c-a727-64ba60ebcd46;437;664;644;598;490;469;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3312
bus_all_60a3bbd6-ca45-485b-87d2-68731aa1a185;356;764;645;529;435;278;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3022
bus_all_15e7c96f-5ce1-435a-8936-0d1b33475f9d;335;616;561;527;518;417;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2977
bus_all_af6d5aa1-389c-4c49-b0ac-ec29a39be39a;501;669;595;450;453;436;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3115
bus_all_e42b7c7a-677f-4596-b645-a69c0ae544a8;400;643;606;590;585;552;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3384
bus_all_6c49ff65-9d1f-46ed-a4f7-41b8a8643d8f;392;587;559;494;415;337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2784
bus_all_6dbba465-0f83-495e-9e6e-ef97f7df4e70;560;867;909;771;759;682;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4601
bus_all_cdbbd1d9-c8dd-4274-a583-4dca5b5f980b;584;981;951;936;842;735;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5117
bus_all_18d34482-46d3-43cc-8817-ebd5ce8e7637;426;688;672;625;577;501;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3490
bus_all_3250f26b-83aa-4dea-aef0-fb7675e75c23;415;632;593;530;512;504;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3193
bus_all_1d261899-6909-4a61-ab13-f27a6dd4f0b7;289;589;486;381;334;224;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2333
bus_all_c5d01d54-d5d4-4fae-b7ef-da2a68a6465e;551;765;766;742;750;701;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4322
bus_all_f7556147-519c-40a3-af76-83622177d6fc;680;921;959;923;848;781;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5204
bus_all_c2549570-dd44-43a4-bc8c-35612a42e3e4;400;624;612;554;571;570;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3331
bus_all_536f11aa-a75b-406b-885f-664075d27e90;417;778;736;710;717;703;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4066
bus_all_f0b029c0-9302-41f3-8fae-44cbca8f5e99;462;595;546;526;523;501;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3156
bus_all_6fb99377-34a6-4e07-bc93-df172a40c8c5;629;845;760;798;726;709;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4498
bus_all_916c3668-dcd0-41d3-b8a0-f1a8e99bdb6e;394;685;628;542;494;335;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3108
