ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-183.98382391027454	-183.98382391027454	-183.98382391027454	-183.98382391027454
1	-183.98382391027454	-183.98382391027454	-183.98382391027454	-183.98382391027454
2	-183.98382391027454	-183.98382391027454	-183.98382391027454	-183.98382391027454
3	-183.98382391027454	-183.98382391027454	-183.98382391027454	-183.98382391027454
4	-183.9838165698798	-183.98382164775538	-183.98381858947198	-183.983815277788
5	-183.9838165698798	-183.98382164775538	-183.98381912150506	-183.98381644990425
6	-183.98382391027454	-183.98382582036322	-183.98382369772338	-183.98382109115025
7	-183.98382391027454	-183.98382582036322	-183.98382475200813	-183.98382370855862
8	-183.98382391027454	-183.98382582036322	-183.9838247563728	-183.9838238322697
9	-183.98382391027454	-183.98382582036322	-183.98382475202425	-183.98382391027454
10	-183.9838165698798	-183.9838253168315	-183.983820600986	-183.98381393208504
