Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	18:09:04	18:09:04	18:09:04			18:09:04	18:09:04	18:09:09	18:09:09	18:09:09	18:09:09	18:09:09	18:09:20	18:09:20	18:09:20	18:09:20	18:09:20	18:09:20			18:09:24	18:09:24		00:00:00		00:00:04	00:00:04	00:00:00	00:00:10	00:00:00	00:00:00		00:00:04	00:00:19
1	18:09:24	18:09:24	18:09:24	18:09:24	18:09:25	18:09:25	18:09:25	18:09:30	18:09:30	18:09:30	18:09:30	18:09:30	18:09:35	18:09:35	18:09:35	18:09:35	18:09:35	18:09:35			18:09:36	18:09:36		00:00:00	00:00:00	00:00:04	00:00:04	00:00:00	00:00:05	00:00:00	00:00:00		00:00:00	00:00:11
2	18:09:36	18:09:36	18:09:36	18:09:36	18:09:36	18:09:36			18:09:36	18:09:36	18:09:36	18:09:36	18:09:42	18:09:42	18:09:42	18:09:42	18:09:42	18:09:42			18:09:42	18:09:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:00	00:00:06
3	18:09:42	18:09:42	18:09:43	18:09:43	18:09:43	18:09:43			18:09:43	18:09:43	18:09:43	18:09:43	18:09:50	18:09:50	18:09:50	18:09:50	18:09:50	18:09:50			18:09:50	18:09:50		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
4	18:09:50	18:09:50	18:09:50	18:09:50	18:09:51	18:09:51			18:09:51	18:09:51	18:09:51	18:09:51	18:09:57	18:09:57	18:09:57	18:09:57	18:09:57	18:09:57			18:09:57	18:09:57		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:00	00:00:07
5	18:09:57	18:09:57	18:09:57	18:09:57	18:09:58	18:09:58			18:09:58	18:09:58	18:09:58	18:09:58	18:10:03	18:10:03	18:10:03	18:10:03	18:10:04	18:10:04			18:10:04	18:10:04		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:00	00:00:06
6	18:10:04	18:10:04	18:10:04	18:10:04	18:10:05	18:10:05			18:10:05	18:10:05	18:10:05	18:10:05	18:10:11	18:10:11	18:10:11	18:10:11	18:10:11	18:10:11			18:10:11	18:10:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:00	00:00:07
7	18:10:11	18:10:11	18:10:12	18:10:12	18:10:12	18:10:12			18:10:12	18:10:12	18:10:12	18:10:12	18:10:18	18:10:18	18:10:18	18:10:18	18:10:18	18:10:18			18:10:18	18:10:18		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:00	00:00:06
8	18:10:18	18:10:18	18:10:18	18:10:18	18:10:19	18:10:19			18:10:19	18:10:19	18:10:19	18:10:19	18:10:25	18:10:25	18:10:25	18:10:25	18:10:25	18:10:25			18:10:25	18:10:25		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:00	00:00:06
9	18:10:25	18:10:25	18:10:25	18:10:25	18:10:26	18:10:26			18:10:26	18:10:26	18:10:26	18:10:26	18:10:32	18:10:32	18:10:32	18:10:32	18:10:32	18:10:32			18:10:32	18:10:32		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:00	00:00:06
10	18:10:32	18:10:32	18:10:32	18:10:32	18:10:33	18:10:33			18:10:33	18:10:33	18:10:33	18:10:33	18:10:42	18:10:42	18:10:42	18:10:42	18:10:42	18:10:42	18:10:42	18:10:42	18:10:45	18:10:45		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00	00:00:00	00:00:03	00:00:13
