TransitLine;h0;h1;h2;h3;h4;h5;h6;h7;h8;h9;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;Day
bus_all_a6299fb0-9e65-4e6c-8990-6c722f75f353;351;700;660;629;565;566;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3483
bus_all_2ed0c717-87c2-4480-ac33-e934a11e263d;263;391;449;384;396;406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2289
bus_all_3117be8e-00fc-4a8b-abec-f94b7bb566a4;103;367;366;273;203;165;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1513
bus_all_d4ec4ec5-f99d-4416-a0db-acbacfe3b02a;62;121;97;86;54;47;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;478
bus_all_d835c137-9774-4654-904c-5ac539acab05;381;606;486;465;465;463;98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2964
bus_all_8fab0173-a074-4f27-a388-297dd6672a30;76;117;87;60;43;34;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;418
bus_all_5e9cd171-d2ba-484a-b639-b4ac1cd5eef7;462;786;769;700;696;634;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4087
bus_all_8fc4f582-c00f-4fe6-b40b-0a2ab77a084b;395;848;780;782;784;752;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4406
bus_all_5f49b845-a5af-49ad-855a-0c74f5c1b52c;327;679;617;512;457;428;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3109
bus_all_df054245-82dd-4d00-9671-205c61a71eee;228;568;597;534;393;252;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2591
bus_all_1a26fbc7-ff72-4bf8-819d-761d1ac772fd;37;76;70;34;30;24;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;273
bus_all_fc6a6549-8b7c-4caa-9516-1e5192ff05e9;63;254;299;222;193;166;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1222
bus_all_729029ba-8589-4b54-a69f-8247e667b1d1;331;564;526;442;322;311;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2500
bus_all_0f3a85ab-c727-4862-b321-df3880a9f99f;492;992;1003;959;933;901;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5358
bus_all_f2e094d0-d9a7-41a3-a7a0-e9ac1d4d6498;417;777;686;673;682;671;91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3997
bus_all_838bd73f-5ac8-4508-a8be-3c9e75ae7d36;103;346;407;339;267;250;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1756
bus_all_5c0d9f37-47b8-43df-85d4-361fbd23dee7;168;439;433;388;259;156;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1873
bus_all_41d0f24b-b411-4920-b1c1-ce0b24a01b2d;246;527;529;486;389;302;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2481
bus_all_825e1534-a345-47a0-907b-5f5fa03165a7;500;803;799;767;708;633;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4210
bus_all_48b264e0-70c3-4e23-b0e9-c7dbba21a306;215;379;452;269;165;87;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1589
