ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-158.6899987175837	-158.6899987175837	-158.6899987175837	-158.6899987175837
1	-158.68999517267426	-158.68999577900706	-158.6899953698294	-158.68999496065177
2	-158.6899976563715	-158.68999809689663	-158.6899975660821	-158.68999701582416
3	-158.6899976563715	-158.68999809689663	-158.68999786849795	-158.6899976563715
4	-158.68999517267426	-158.68999654912247	-158.68999585361072	-158.6899950996208
5	-158.6899987175837	-158.68999934214037	-158.68999858943238	-158.68999781082815
6	-158.68999623388643	-158.689997887972	-158.68999703988288	-158.68999598768687
7	-158.68999623388643	-158.689997887972	-158.6899971099416	-158.68999623388643
8	-158.6899987175837	-158.68999941438423	-158.68999870919217	-158.68999791931014
9	-158.6899976563715	-158.68999914939468	-158.6899983365012	-158.6899972852518
10	-158.6899976563715	-158.68999914939468	-158.689998426084	-158.68999752981196
