Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	22:21:50	22:21:50	22:21:50			22:21:50	22:21:50	22:21:54	22:21:54	22:21:54	22:21:54	22:21:54	22:22:01	22:22:01	22:22:01	22:22:01	22:22:01	22:22:01			22:22:04	22:22:04		00:00:00		00:00:03	00:00:03	00:00:00	00:00:06	00:00:00	00:00:00		00:00:03	00:00:13
1	22:22:04	22:22:04	22:22:04	22:22:04	22:22:04	22:22:04	22:22:04	22:22:08	22:22:08	22:22:08	22:22:08	22:22:08	22:22:11	22:22:11	22:22:12	22:22:12	22:22:12	22:22:12			22:22:12	22:22:12		00:00:00	00:00:00	00:00:03	00:00:03	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:08
2	22:22:12	22:22:12	22:22:12	22:22:12	22:22:13	22:22:13			22:22:13	22:22:13	22:22:13	22:22:13	22:22:16	22:22:16	22:22:16	22:22:16	22:22:16	22:22:16			22:22:17	22:22:17		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
3	22:22:17	22:22:17	22:22:17	22:22:17	22:22:17	22:22:17			22:22:17	22:22:17	22:22:17	22:22:17	22:22:21	22:22:21	22:22:21	22:22:21	22:22:21	22:22:21			22:22:21	22:22:21		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
4	22:22:22	22:22:22	22:22:22	22:22:22	22:22:22	22:22:22			22:22:22	22:22:22	22:22:22	22:22:22	22:22:26	22:22:26	22:22:26	22:22:26	22:22:26	22:22:26			22:22:26	22:22:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
5	22:22:26	22:22:26	22:22:26	22:22:26	22:22:26	22:22:26			22:22:26	22:22:26	22:22:27	22:22:27	22:22:30	22:22:30	22:22:30	22:22:30	22:22:30	22:22:30			22:22:30	22:22:30		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
6	22:22:31	22:22:31	22:22:31	22:22:31	22:22:31	22:22:31			22:22:31	22:22:31	22:22:31	22:22:31	22:22:34	22:22:34	22:22:35	22:22:35	22:22:35	22:22:35			22:22:35	22:22:35		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
7	22:22:35	22:22:35	22:22:35	22:22:35	22:22:35	22:22:35			22:22:35	22:22:35	22:22:36	22:22:36	22:22:39	22:22:39	22:22:39	22:22:39	22:22:39	22:22:39			22:22:39	22:22:39		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
8	22:22:39	22:22:39	22:22:40	22:22:40	22:22:40	22:22:40			22:22:40	22:22:40	22:22:40	22:22:40	22:22:44	22:22:44	22:22:44	22:22:44	22:22:44	22:22:44			22:22:44	22:22:44		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
9	22:22:44	22:22:44	22:22:44	22:22:44	22:22:44	22:22:44			22:22:44	22:22:44	22:22:45	22:22:45	22:22:48	22:22:48	22:22:48	22:22:48	22:22:48	22:22:48			22:22:49	22:22:49		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
10	22:22:49	22:22:49	22:22:49	22:22:49	22:22:49	22:22:49			22:22:49	22:22:49	22:22:49	22:22:49	22:22:57	22:22:57	22:22:57	22:22:57	22:22:57	22:22:57	22:22:57	22:22:57	22:22:59	22:22:59		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00	00:00:00	00:00:02	00:00:10
